id,name,node_type,category,subtype,brings,agenda,key_people,website,ein,filings_url,latest_fy_revenue,grant_programs,next_date,events,warm_path,fit_score,the_ask,sources,verify_flags
ica,Institute of Contemporary Art San Diego (ICA North Encinitas / ICA Central),org,institution,nonprofit (filed as San Diego Art Institute),"space,people",Encinitas campus with residency since 2007; cut 42% of staff Jul-Aug 2026 and closed Balboa Park site; only ICA North open.,Andrew Utt (title unconfirmed); Abe Hughes (board; City commissioner),https://icasandiego.org,95-1816068,https://projects.propublica.org/nonprofits/organizations/951816068,FY2023 revenue $2.1M (deficit),Residency (terms unpublished),,,Cold,4,Nov 6 cross-promo; residency path,https://www.kpbs.org/news/arts-culture/2026/09/03/san-diego-arts-organizations-cut-staff-due-to-funding-struggles-some-former-employees-claim-financial-mismanagement,Leadership title unconfirmed
oma,Oceanside Museum of Art,org,institution,nonprofit museum,"people,space",Artist Alliance (juried membership; Biennial; Quarterly Exchange); 2026 SD Art Prize with SDVAN; Changing Terrain through Jan 17 2027.,James Peck (ED),https://oma-online.org,33-0653905,https://projects.propublica.org/nonprofits/organizations/330653905,FY2023 revenue $2.3M,Artist Alliance membership,,Quarterly Exchange,Danielle Deery (ex-OMA),4,Artist Alliance mechanics; cross-promo,https://oma-online.org/artist-alliance,
sdvan,San Diego Visual Arts Network,org,institution,artist network,people,SD Art Prize (20 yrs); North County Arts Network; open-studios directory.,Patricia Frischer (founder),https://sdvisualarts.net,,,,,,,Cold,3,List Garden creatives; Art Prize nominations,,EIN not found
vanguard,Vanguard Culture,org,media,nonprofit journalism + convening,"people,doors",Creative-workforce journalism; SD ARTS Pass; Art Garden at Park & Market.,Susanna Peredo Swap (Founder & ED),https://vanguardculture.com,81-2870845,https://projects.propublica.org/nonprofits/organizations/812870845,FY2023 revenue $289k,,,Art Garden; calendar,Cold (Glus named her),5,Press + convening ally; list Nov 6,,
ssaw,So Say We All (VAMP),org,institution,literary/performing nonprofit,people,Monthly VAMP true-story showcase; blind Submittable; coaching.,Jennifer D. Corley (Program Director),https://www.sosayweallonline.com/vamp,27-2586765,https://projects.propublica.org/nonprofits/organizations/272586765,FY2023 revenue $168k,VAMP submissions (rolling),rolling,Last Thursday monthly,Cold,3,Testimony format; cross-promo,https://sosayweallonline.submittable.com,
sdwi,"San Diego Writers, Ink",org,institution,literary nonprofit (Liberty Station),people,Workshops; readings; SD Writers Festival.,Kristen Fogle (ED),https://writeyourstorynow.org,20-1202924,https://projects.propublica.org/nonprofits/organizations/201202924,FY2024 revenue $256k,,,Dime Stories; Sunday Author Series,Cold,2,,,
athenaeum,Athenaeum Music & Arts Library (Library Association of La Jolla),org,institution,nonprofit,doors,Administers Murals of La Jolla (invitation by advisory committee).,Christie Mitchell (ED),https://ljathenaeum.org,95-1916045,https://projects.propublica.org/nonprofits/organizations/951916045,FY2023 revenue $3.2M,Murals of La Jolla (invite only),,,Cold,2,,https://muralsoflajolla.com,
bpcp,Balboa Park Cultural Partnership,org,institution,consortium of 24 institutions,doors,Shared services; Learning Institute; Explorer pass; December Nights co-producer.,Peter Comiskey (ED); Jessica Hanson York (president; Mingei),https://bpcp.org,20-0857447,https://projects.propublica.org/nonprofits/organizations/200857447,FY2023 revenue $4.4M,,2026-12-05,December Nights Dec 5-6 2026,Cold,3,One pitch to 24 institutions,,
fbp,Forever Balboa Park,org,institution,nonprofit (capital stewardship),doors,Park-wide capital; chair Victoria Hamilton (Prebys board).,Katy McDonald (President & CEO); Victoria Hamilton (chair),https://foreverbalboapark.org,33-0849518,https://projects.propublica.org/nonprofits/organizations/330849518,revenue $4.8M; net assets $11.6M,,,,Hamilton,2,,,
globe,The Old Globe,org,institution,nonprofit theatre,"doors,people",Arts Engagement office (The 360 Project).,Adena Varner (Director of Arts Engagement),https://www.theoldglobe.org,95-1543396,https://projects.propublica.org/nonprofits/organizations/951543396,FY2023 revenue $27.7M,,,,Cold,2,Post-launch,,
ljp,La Jolla Playhouse,org,institution,LORT theatre (UCSD campus),"space,people","WOW Festival (Apr 15-18 2027); POP Tour; sponsors BofA, US Bank, Qualcomm.",Jessica Stone (AD); Debby Buchholz (MD); Eric Louie; Rebecca Pierce Goodman (SDAM treasurer),https://lajollaplayhouse.org,,,,WOW developmental slots (process unpublished),2027-04-15,WOW Festival Apr 15-18 2027,SDAM (Goodman),2,,,EIN not located
mingei,Mingei International Museum,org,institution,nonprofit museum,doors,Design Week partner; ED is BPCP president.,Jessica Hanson York (ED & CEO),https://mingei.org,23-7433357,https://projects.propublica.org/nonprofits/organizations/237433357,FY2023 revenue $6.7M,,,,,2,,,
comiccon,Comic-Con International / Comic-Con Museum,org,institution,nonprofit (San Diego Comic Convention),"people,doors","Artists' Alley, Small Press; Comic-Con 2027 Jul 22-25; museum year-round.",Robin Donlan (President),https://www.comic-con.org,95-3072188,https://projects.propublica.org/nonprofits/organizations/953072188,FY2023 revenue $34M,Registration Oct 17 / Nov 14 2026,2026-10-17,Comic-Con Jul 22-25 2027,Cold,2,Artists' Alley for Garden comics artists,,
sdiff,San Diego International Film Festival,org,institution,nonprofit festival,people,25th edition Oct 13-18 2026.,Tonya Mantooth (Artistic Director),https://sdfilmfest.com,,,,,2026-10-13,Oct 13-18 2026,Ryan Knight,3,Cross-promo before Nov 6,,EIN not confirmed
macsd,Media Arts Center San Diego / San Diego Latino Film Festival,org,institution,nonprofit,people,Founder won 2026 Prebys Leadership Award; Latino Film Festival Mar 17-21 2027; Digital Gym Cinema.,Ethan van Thillo (founder/ED),https://sdlatinofilm.com,,,,,2027-03-17,SDLFF Mar 17-21 2027,Prebys,3,Warm-intro target,,
davidsharp,The David's Harp Foundation,org,institution,youth music/creative-economy nonprofit,people,Founder won 2026 Prebys Leadership Award (arts).,Brandon Steppe (founder/ED),,,,,,,,Prebys,3,Warm-intro target,,
nva,New Village Arts (Carlsbad),org,institution,nonprofit theatre,people,Founder stepping down after 2026-27; Carlsbad grantee.,"Kristianne Kurner (Founder & Executive AD, departing)",https://newvillagearts.org,52-2320930,https://projects.propublica.org/nonprofits/organizations/522320930,FY2023 revenue $1.7M,,,,Cold,2,,,
ccae,"California Center for the Arts, Escondido",org,institution,nonprofit arts center,space,Escondido anchor; Prebys grantee (CCAE Theatricals).,Gina Lopez (CEO),https://artcenter.org,33-0646517,https://projects.propublica.org/nonprofits/organizations/330646517,FY2023 revenue $8.0M,,,,,2,,,
eap,Escondido Arts Partnership,org,institution,municipal gallery nonprofit,people,400+ member artists; free monthly shows.,Victoria Estacio Huckins (ED),https://escondidoarts.org,33-0783379,https://projects.propublica.org/nonprofits/organizations/330783379,FY2023 revenue $148k,,,,,2,,,
efa,Encinitas Friends of the Arts,org,institution,nonprofit (Pacific View programs),"people,doors",Runs PVAC programs; James Halliday on board.,Naimeh Woodward (President); James Halliday (board),https://encinitasarts.org,,,,,,,Halliday,4,North County bridge,,
hillstreet,Hill Street Country Club (Oceanside),org,institution,artist incubator,"space,people",Artists from marginalized communities; ICA-affiliated venue.,,https://thehillstreetcountryclub.org,,,,,,,,2,,,ED not confirmed
lapaloma,La Paloma Theatre (Encinitas),org,venue,historic cinema/live venue,space,Lightchurch Sunday venue; 1928.,(760) 436-7469,https://lapalomatheatre.com,,,,Rental terms unpublished,,,Lightchurch,3,,,
quartyard,Quartyard,org,venue,private event venue (East Village),space,Born as NewSchool thesis (RAD Lab).,Justin Navalle (GM & Partner),https://quartyardsd.com,,,,,,,,2,,,
shipwoods,A Ship in the Woods (Escondido),org,venue,nonprofit incubator,space,2-acre oak grove; 600-700-person events.,"RJ Brooks, Dan Fauchier; Lianne Mueller",https://shipinthewoods.com,46-2607986,https://projects.propublica.org/nonprofits/organizations/462607986,last full 990 FY2019,,,,,2,,,Filing status stale
delmar_fg,Del Mar Fairgrounds / The Sound,org,venue,state-owned halls; Belly Up-run venue,space,"Halls 3,500-6,800 cap; The Sound ~1,900.","22nd DAA; Belly Up: Steve Goldberg, Phil Berkowitz",https://www.delmarfairgrounds.com,,,,,,,,1,,,
littleitaly,Little Italy Association,org,association,501(c)(3) business district,"people,doors","Mercato, Mission Fed ArtWalk, Tree Lighting; State of the Neighborhood Sept 24.",Christopher Gomez (Chief Executive Administrator); Marco Li Mandri (Executive Advisor/founder); Steve Galasso (President),https://www.littleitalysd.com,,,,,2026-09-24,State of the Neighborhood Sept 24; Tree Lighting early Dec,Danny,3,Introduce via Danny,,Kettner Nights not confirmed
npms,North Park Main Street,org,association,business district,people,Festival of Arts; Taste of North Park; Ray at Night (status unconfirmed).,,https://northparkmainstreet.com,,,,,,,,2,,,Ray at Night status
e101,Encinitas 101 MainStreet,org,association,business district (Nov 6 city),people,Spring/Holiday Street Fairs; Taste of Encinitas.,,https://encinitas101.com,,,,,,Holiday Street Fair,Cold,3,Nov 6 promo,,Leadership not retrieved
mso,MainStreet Oceanside / Oceanside Art Walk,org,association,business district,people,First Friday Art Walk (60+ artists); Sunset Market; Taste of Oceanside Oct 3.,,https://mainstreetoceanside.com,,,,,2026-10-02,First Friday monthly incl. Nov 6,Cold,3,Nov 6 Garden crew,https://www.oceansideartwalk.org,
cva,Carlsbad Village Association,org,association,business district,people,Taste of Carlsbad Village; Faire Nov 1 (Chamber).,,https://carlsbad-village.com,,,,,2026-11-01,Village Faire Nov 1,,2,,,
ljvma,La Jolla Village Merchants Association / La Jolla Community Foundation,org,association,business district + foundation,"people,doors",Murals of La Jolla with the Athenaeum.,Scott Blaul (President),https://lajollabythesea.com,,,,,,,,2,,,
aiga,AIGA San Diego Tijuana,org,association,design chapter (binational),people,LINK youth program; six student chapters.,Máximo Escobedo (VP Special Projects),https://sandiego.aiga.org,,,,,,,Cold,2,,,
makers,Makers Arcade / San Diego Made,org,association,maker markets,people,Holiday Fair Dec 12-13 2026 Broadway Pier; vendor/musician applications open.,"Rebecca Chase, Jen Byard",https://makersarcade.com,,,,Vendor applications,2026-12-12,Holiday Fair Dec 12-13,Cold,3,Garden makers apply,,
startupsd,Startup San Diego / San Diego Startup Week,org,civic org,founder network,people,"Startup Week Nov 2-6 2026 (5,000+ founders/funders); site under construction.",,https://sandiegostartupweek.org,,,,,2026-11-02,Startup Week Nov 2-6,Cold,3,Side session; ends on Nov 6,,Org site placeholder
cm,CreativeMornings San Diego,org,association,monthly breakfast talks,people,"Last Friday 8:15am; Sept 25, Oct 30, Nov 20, Dec 18 2026.",,https://creativemornings.com/cities/sd,,,,,2026-09-25,Monthly,Cold,3,Attend; pitch a talk,,Host not confirmed
plnu,Point Loma Nazarene University,org,university,Christian university,"people,doors,space","Art + Design (Keller/Love galleries); Writer's Symposium by the Sea Feb 24-26 2027 (Patchett, O Tuama, Danticat); Center for Pastoral Leadership ($500k Lilly); Wesleyan Center non-operational.",G. James Daichendt EdD (Dean Arts & Humanities); Dean Nelson (Symposium founder; WritersSymposium@pointloma.edu); Kelley Klassen (CPL),https://www.pointloma.edu,,,,,2027-02-24,Writer's Symposium Feb 24-26 2027; Lomaland Film Festival Feb 23,Cold,4,Symposium audience; Daichendt,https://www.pointloma.edu/events/writers-symposium-sea,Wesleyan Center on hold
usd,University of San Diego,org,university,Catholic university,people,"Humanities Center, Kroc, Center for Christian Spirituality, Harpst Center — site unreachable.",,https://www.sandiego.edu,,,,,,,,2,Retry,,Unverified this pass
kpbs,KPBS Arts,org,media,public media,"people,doors",Arts & Culture reporter edits region-wide arts calendar; The Finest podcast.,Julia Dixon Evans (jdevans@kpbs.org),https://www.kpbs.org/events/submit,,,,,,,Cold,5,Calendar listing + feature,,
timessd,Times of San Diego (Arts),org,media,online news,people,Reliable press-release pickup.,Debbie L. Sklar,https://timesofsandiego.com,,,,,,,Cold,3,Press release,,
coastnews,"Coast News Group (Coast News, Encinitas Advocate, Del Mar Times, La Jolla Light)",org,media,North County papers,people,North County paper of record.,,https://thecoastnews.com,,,,,,,Cold,4,Nov 6 coverage,,
tas,The Table Art Society,org,our node,501(c)(3) (La Mesa),people,Nine-month Artist Cohort; 2025 fundraiser Nov 6 2025; cultivating Prebys relationships; our 501c3 applicant.,Haley Montgomery Dall (Founder & ED),https://thetableartsociety.com,99-3558096,https://projects.propublica.org/nonprofits/organizations/993558096,no 990 yet (ruling Jul 1 2024),"Applicant for CEP, CCSD, Cushman, Viejas, Parker",,"Cohort Sept 25/28, Oct 23/26, Nov 13/16",Ours,5,"Confirm board date, Flourish SD, ZIP; file D3/D2 CEP",https://www.kpbs.org/events/2025/11/06/future-flourishing-the-table-art-society-2025-annual-fundraiser,ZIP 91942 vs 91941; @flourishsandiego.org emails
ap,Abiding Practice,org,our node,nonprofit,people,"Spiritual formation for artists; partners Light Church, TAS, Third Chair; presented at Barnabas Mar 2025.","David Russo (Founder/Director, david@abidingpractice.com); Christina Bumann; Jared Friesen; Kimberly Russo (Finance)",https://www.abidingpractice.com,33-2891524 (verify),https://projects.propublica.org/nonprofits/organizations/332891524,,,,Artist Showcase; Creative Sanctuary retreats,Ours,5,Confirm EIN/address; Barnabas return slot,https://www.abidingpractice.com/community,"IRS record shows Paradise CA, ruling Feb 2025"
lightchurch,Lightchurch (Encinitas) / Light Church network,org,our node,church (Nov 6 host),"space,people",Venues La Paloma Theatre and The Chapel (831 3rd St); AP partner church; Nov 6 not yet on calendar.,Benji Horning (Lead Pastor); Jen Horning (Co-Pastor & Creative Director); Savannah Goodell (Creative Pastor); David Gabel (Exec Pastor),https://www.lightsandiego.com,,,,,2026-11-06,Nov 6 showcase,Ours,5,List the event; Goodell liaison,https://www.lightsandiego.com/staff,Light Downtown relationship
grove,The Grove Center for the Arts & Media,org,our node,Christian arts nonprofit (Valley Center),people,"Artist grants, retreats, courses; site active; status per Rick: winding down.",Joey O'Connor (Founder & ED),https://www.thegrovecenter.org,,,,,,,Ours,2,Ask Joey about entity and assets,https://www.thegrovecenter.org/about-the-grove,No EIN found; location Valley Center
rock,Rock Church,org,church,megachurch (6 campuses),"people,space","~19k weekly (dated); Point Loma seats 3,500; El Cajon campus near La Mesa; Danny Barragan runs creative.",Miles McPherson (Senior Pastor); Danny Barragan (Executive Creative Director); Santiago Ruiz (Exec Pastor),https://sdrock.com,,,,,,,Danny,4,Congregational patrons; venue,https://theorg.com/org/rock-church/org-chart/danny-barragan,Attendance figure dated
shadowmtn,Shadow Mountain Community Church,org,church,megachurch (El Cajon; 11 campuses incl. Encinitas),"space,people",David Jeremiah; Turning Point media.,David Jeremiah (Senior Pastor),https://shadowmountain.org,,,,,,,Cold,2,,,Figures dated
nccc,North Coast Calvary Chapel (Carlsbad),org,church,church,"people,space","Runs a Faith, Work & The Arts community group.",,,,,,,,,Cold,3,Reach the group leader,,
skyline,Skyline Church (Rancho San Diego / La Mesa),org,church,church,people,"Campus at 11330 Campo Rd, La Mesa 91941 — TAS neighborhood.",,https://skylinechurch.org,,,,,,,Cold,2,,,
stpauls,St. Paul's Episcopal Cathedral,org,church,cathedral (downtown),"space,people",Music at St. Paul's; partners with Voices of Our City Choir.,,https://stpaulcathedral.org,,,,,,Evensong; concerts,Cold,2,,,Dean unconfirmed
stjames,St. James by-the-Sea (La Jolla),org,church,Episcopal parish,"space,people",St. James Music Series; St. James GALLERY by-the-Sea.,,https://sjbts.org,,,,,,Music series; gallery shows,Cold,3,Gallery show for Garden visual artists,,
allsouls,All Souls' Episcopal (Point Loma),org,church,Episcopal parish,people,"Liturgy, music and art as a window to the Divine.",Fr. Douglas Worthington (Rector),https://allsoulspointloma.org,,,,,,,Cold,2,,,
fpc,First Presbyterian Church San Diego,org,church,downtown church,space,FPC Concert Series; Music & Production ministry.,,https://fpcsd.org,,,,,,,Cold,2,,,
diocese,Catholic Diocese of San Diego,org,church,diocese,people,Bishop Michael M. Pham (Jul 2025); Jubilee Year of St. Francis 2026-27.,Bishop Michael M. Pham,https://sdcatholic.org,,,,,,,Cold,1,,,No arts office found
p_glus,Jonathon Glus,person,person,dsdp,,"The connector across Prebys, Downtown Partnership, City (ex-ED Nov 2018-Oct 2025), state advocacy, SD Magazine, SDFC, UCSD Design Lab | Creative-workforce district, not tourism; connect anchors to working artists; affordability/space; build contemporary-art product","Conrad Prebys Senior Art & Design Fellow in Residence; ED, Art + Design District; President, California for the Arts board; SDAM board",LinkedIn jonathon-glus-44b68114; X @JonathonGlus; IG @jonathondglus,,,,,,"Prebys, Brennan, SDAM, Baker, Johnson, Morúa, UCSD Design Lab, Haley",Met 9/15,5,Thank-you; Nov 6 invite; three intros; advisory roster; coverage slot,https://www.prebysfdn.org/stories/podcast/stop-talk/jonathon-glus-embracing-san-diego-as-a-creative-city,SF/LA remark is private
p_haley,Haley Montgomery Dall,person,person,tas,,Founding community; our 501c3 applicant; cultivating Prebys; possible 2027 Leadership awardee (public Feb 2027) | Artist flourishing; TAS expansion,"Founder & Executive Director, The Table Art Society",haley@thetableartsociety.com; @thetableartsociety,,,,,,"David Russo, Light Church network, Prebys, Glus",Ours,5,Prebys names; nomination status; board date; Flourish SD,,Prebys standing not public
p_david,David Russo,person,person,ap,,Founding community; already inside Barnabas and Light Church | Spiritual formation for artists,"Founder/Director, Abiding Practice",david@abidingpractice.com,,,,,,"Light Church, Barnabas Group, TAS, Third Chair",Ours,5,Confirm EIN; Barnabas return slot,,
p_oliphant,Grant Oliphant,person,person,prebys,,Controls ~$64M/yr; drove California Theatre and the June rescue; Stop & Talk host | Arts as economic infrastructure; downtown revitalization,"President & CEO, Prebys Foundation",prebysfdn.org,,,,,,"Glus, Dubick, Hamilton, Crystal Page",Glus; Haley,4,,,
p_dubick,Julie Dubick,person,person,prebys,,Governance bridge Prebys-DSDP,"Chief of Staff & Strategic Partnership Advisor, Prebys; DSDP executive board",,,,,,,"Oliphant, Brennan",Glus,3,,,
p_hamilton,Victoria Hamilton,person,person,prebys,,Three boards,Prebys board; SDAM emeritus; Forever Balboa Park chair,,,,,,,,Glus,3,,,
p_kritchevsky,Alexandra Kritchevsky,person,person,prebys,,Named contact for arts grants,"Program Officer (arts), Prebys",alexandra@prebysfdn.org; 619-860-2100 x104,,,,,,,Cold/Glus,4,Program-officer demo,,
p_young,Emily Young,person,person,prebys,,Public voice on Artists Count,"VP of Programs, Prebys",,,,,,,,Glus,3,,,
p_brennan,Betsy Brennan,person,person,dsdp,,Glus's boss; 2026 CEO of the Year | Downtown vitality; homelessness; arts district,"President & CEO, Downtown San Diego Partnership",,,,,,,"Glus, Keith B. Jones, Dubick",Glus,4,Intro,,
p_halliday,James Halliday,person,person,liberty,,North County-Liberty Station-advocacy bridge,"VP & Chief Advancement Officer, Arts District Liberty Station; SDAM interim chair; Encinitas Friends of the Arts board",,,,,,,"Lisa Johnson, Naimeh Woodward, SDAM board",Glus/EFA,5,Coffee,,
p_ljohnson,Lisa Johnson,person,person,liberty,,The space door,"President & CEO, Arts District Liberty Station",,,,,,,Halliday,Halliday,4,,,
p_swap,Susanna Peredo Swap,person,person,vanguard,,Press + convening ally; named in Glus note,"Founder & ED, Vanguard Culture",vanguardculture.com,,,,,,"UCSD ArtsConnect, Park & Market, SD Press Club",Cold,5,Coffee; list Nov 6,,
p_jde,Julia Dixon Evans,person,person,kpbs,,Edits the region's arts calendar,"Arts & Culture Reporter, KPBS; host The Finest",jdevans@kpbs.org,,,,,,,Cold,5,Listing + feature,,
p_cjohnson,Claire Johnson,person,person,sdmag,,Coverage run to early 2027,"CEO, San Diego Magazine",,,,,,,"Glus, Morúa",Glus,3,,,
p_morua,Sebastián Morúa,person,person,sdfc,,Closest local design comp; quarterly mixers,"SVP Brand & Innovation, San Diego FC (Playmakers)",,,,,,,"Glus, Johnson",Glus,3,Attend mixer,,
p_flores,Ron Flores,person,person,barnabas,,Books presenting slots,"Director, Ministry Engagement, Barnabas Group SD",Ron.Flores@BarnabasGroup.org,,,,,,,David,5,Slot request,,
p_binno,Selah Binno,person,person,barnabas,,,"Executive Director, Barnabas Group SD",,,,,,,Curt Hensley (chair),David,3,,,
p_crockett,Carter Crockett,person,person,fde,,Named local FDE person,"San Diego connector, Faith Driven Entrepreneur",,,,,,,SD Christian Chamber,Cold,3,,,
p_horning,Benji Horning,person,person,lightchurch,,Nov 6 host,"Lead & Teaching Pastor, Lightchurch",lightsandiego.com,,,,,,Jen Horning; Light Church SD (AP partner),Ours,5,List the event,,
p_goodell,Savannah Goodell,person,person,lightchurch,,Creative-staff liaison for Nov 6,"Creative Pastor, Lightchurch",,,,,,,,Ours,4,,,
p_danny,Danny Barragan,person,person,rock,,Advisor; bridge into largest church creative operation; Little Italy,"Executive Creative Director, Rock Church (worship, production, marketing, media)",LinkedIn danny-barragan-03218b189,,,,,,"McPherson, Ruiz, Little Italy",Ours,5,Little Italy intros; Rock patrons,https://theorg.com/org/rock-church/org-chart/danny-barragan,Reveal/Temple not public
p_limandri,Marco Li Mandri,person,person,littleitaly,,Most influential neighborhood operator,"Executive Advisor (founder), Little Italy Association",,,,,,,Christopher Gomez,Danny,3,,,
p_gomez,Christopher Gomez,person,person,littleitaly,,Day-to-day leader,"Chief Executive Administrator, Little Italy Association (since Jan 2025)",,,,,,,Li Mandri,Danny,3,,,
p_daichendt,G. James Daichendt,person,person,plnu,,Live PLNU arts door,"Dean of Arts & Humanities; Professor of Art, PLNU",pointloma.edu,,,,,,,Cold,3,,,
p_nelson,Dean Nelson,person,person,plnu,,Feb 24-26 2027 audience,"Founder, Writer's Symposium by the Sea (1995), PLNU",WritersSymposium@pointloma.edu,,,,,,,Cold,4,,,
p_nguyen,Mai Nguyen,person,person,ucsd_dl,,Design@Large; Design Forward Alliance lineage,"Director, UC San Diego Design Lab",designlab.ucsd.edu,,,,,,Glus; Daniela Deutsch; Nadir Weibel,Glus/@designlabucsd,4,,,
p_waltz,Andrew Waltz,person,person,parkmarket,,Programmable downtown space,"Director of Arts Management, UCSD Park & Market",,,,,,,Vanguard Culture,Vanguard,4,,,
p_dellacoletta,Cristina Della Coletta,person,person,ucsd_ah,,Campus arts agenda,"Dean, School of Arts & Humanities, UC San Diego",,,,,,,"ArtPower, Design Lab",,2,,,
p_depoyen,Jennifer de Poyen,person,person,space4art,,Structural peer; Prebys grantee; Arts Edition,"Executive Director, Space 4 Art",sdspace4art.org,,,,,,Prebys,Cold,3,,,
p_peck,James Peck,person,person,oma,,Artist Alliance; Art Prize,"Executive Director, Oceanside Museum of Art",oma-online.org,,,,,,Frischer; Deery,Cold,4,,,
p_frischer,Patricia Frischer,person,person,sdvan,,Art Prize; North County Arts Network,"Founder, San Diego Visual Arts Network",sdvisualarts.net,,,,,,OMA,Cold,3,,,
p_comiskey,Peter Comiskey,person,person,bpcp,,24 institutions,"Executive Director, Balboa Park Cultural Partnership",bpcp.org,,,,,,,Cold,3,,,
p_varner,Adena Varner,person,person,globe,,Community door,"Director of Arts Engagement, The Old Globe",,,,,,,,Cold,2,,,
p_stone,Jessica Stone,person,person,ljp,,WOW Festival,"Artistic Director, La Jolla Playhouse (Nov 2025)",,,,,,,,,2,,,
p_littman,Brett Littman,person,person,mcasd,,New leadership,"Director & CEO, MCASD (from Oct 2026)",,,,,,,,,2,,,
p_gilmer,Martha Gilmer,person,person,symphony,,Flagship venues,"President & CEO, San Diego Symphony",rbaker@sandiegosymphony.org,,,,,,Rick Baker (corporate),,2,,,
p_wallace,Carol Wallace,person,person,sdtheatres,,Civic + Balboa Theatres,"President & CEO, San Diego Theatres",,,,,,,Maria Nieto Senour,,2,,,
p_finnie,Gaidi Finnie,person,person,bacd,,Named pillar,"ED, SD African American Museum of Fine Art (Black Arts & Culture District)",,,,,,,Montgomery Steppe,,2,,,
p_steppe,Brandon Steppe,person,person,davidsharp,,What Prebys rewards,"Founder/ED, The David's Harp Foundation; 2026 Prebys Leadership awardee",,,,,,,Prebys,,3,,,
p_vanthillo,Ethan van Thillo,person,person,macsd,,What Prebys rewards; Latino Film Festival,"Founder/ED, Media Arts Center San Diego; 2026 Prebys Leadership awardee",,,,,,,Prebys,,3,,,
p_martinez,Christine Martinez,person,person,avsd,,Led 2026 restore campaign; named in Arts Edition | Stable arts funding,"Director, A Vibrant San Diego",director@avibrantsandiego.org,,,,,,Bob Lehman,Cold,3,,,
p_lehman,Bob Lehman,person,person,sdam,,City advocacy-County policy connector,"Executive Director, San Diego ART Matters; Vice Chair, County Arts & Culture Commission",,,,,,,"Martinez, Halliday, Gilliam",Glus/SDAM,4,,,
p_cjones,Christine E. Jones,person,person,city_ca,,Longest-tenured senior arts staffer; acting ED before Glus,"Senior staff, City Cultural Affairs; CAC State-Local Partner liaison",christinej@sandiego.gov,,,,,,Glus,Glus,5,,,
p_laing,Rachel Laing,person,person,city_ca,,Ex-Mayor comms director; press,"Assistant Deputy Director, City Cultural Affairs (Nov 2025)",,,,,,,Mayor's office,Glus,3,,,
p_ojones,Olivia Jones,person,person,city_ca,,Runs OSP/CCSD,"Senior Arts & Culture Funding Manager, City",,,,,,,,,4,,,
p_moctezuma,Alessandra Moctezuma,person,person,city_ca,,Sets agenda,"Chair, City Commission for Arts & Culture; Mesa College gallery director",Breza@sandiego.gov,,,,,,Bell Reza (liaison),public comment,3,,,
p_lawsonremer,Terra Lawson-Remer,person,person,county,,The Nov 6 district; CEP/NRP,"County Supervisor, District 3 (Carlsbad to Coronado: Encinitas, Del Mar, La Jolla, Little Italy)",District3Grants@sdcounty.ca.gov; 619-531-5533,,,,,,,Cold,5,D3 CEP application,,
p_anderson,Joel Anderson,person,person,county,,TAS's district; CEP/NRP,"County Supervisor, District 2 (East County; La Mesa)",District2Grants@sdcounty.ca.gov; 619-531-5522,,,,,,,Cold,4,D2 CEP application,,
p_montgomerysteppe,Monica Montgomery Steppe,person,person,county,,Co-author of June arts rescue; founded Black Arts & Culture District,"County Supervisor, District 4",,,,,,,"Prebys, Kent Lee",,3,,,
p_gilliam,Jim Gilliam,person,person,county_acc,,County policy + Encinitas,"Chair, County Arts & Culture Commission (D5); Encinitas's longtime arts administrator",arts@sdcounty.ca.gov,,,,,,Lehman,,3,,,
p_lacava,Joe LaCava,person,person,city_council,,Pushed back on FY27 cut,"Council President, District 1",619-236-6611,,,,,,,,2,,,
p_lee,Kent Lee,person,person,city_council,,Fronted the $10.35M restoration,Council President Pro Tem,,,,,,,"Foster, Montgomery Steppe, Prebys",,3,,,
p_foster,Henry Foster III,person,person,city_council,,Fronted the restoration,Budget Committee chair,,,,,,,,,2,,,
p_gloria,Todd Gloria,person,person,city_council,,Proposed the FY27 cut,Mayor of San Diego,,,,,,,,,1,,,
p_barros,Roque Barros,person,person,cac,,Regional voice,"Council Member (San Diego), California Arts Council",,,,,,,,,2,,,
p_estrada,Vicki Estrada,person,person,cac,,Regional voice,"Council Member (San Diego), California Arts Council; Estrada Land Planning",,,,,,,,,2,,,
p_goodwin,Leah Goodwin,person,person,cac,,Regional voice,"Council Member (Imperial Beach), California Arts Council",,,,,,,,,2,,,
p_stropes,Craddock Stropes,person,person,carlsbad,,Carlsbad arts,"Cultural Arts Manager, City of Carlsbad",arts@carlsbadca.gov; 442-339-2726,,,,,,Krystal Roa,Cold,3,,,
p_roa,Krystal Roa,person,person,carlsbad,,Runs the grants,"Community Arts Grants Program Manager, City of Carlsbad",krystal.roa@carlsbadca.gov; 442-339-5611,,,,,,,Cold,3,,,
p_deery,Danielle Deery,person,person,encinitas,,Encinitas + Oceanside network,"Instructor, Pacific View Arts Center; ex-Director of Exhibitions, OMA",pvac@encinitasCA.gov,,,,,,OMA; La Jolla Historical Society,Cold,4,Coffee,,
p_baker,Julie Baker,person,person,cfta,,Glus chairs her board,"CEO, California for the Arts / California Arts Advocates",,,,,,,Glus,Glus,2,,,
p_moraga,Ben Moraga,person,person,rsff,,North County DAFs,"President & CEO, Rancho Santa Fe Foundation",info@rsffoundation.org,,,,,,Abigail Jones; Lindsay Langford,Cold,2,,,
